"face_id,Manipulation,manipulated,none"
"206,Masculinity,3.1481481481481484,4.391304347826087"
"206,Symmetry,3.8260869565217392,3.736842105263158"
"211,Averageness,3.9523809523809526,4.25"
"211,Femininity,3.8333333333333335,5.086956521739131"
"211,Masculinity,4.846153846153846,4.5"
"211,Symmetry,4.68,4.529411764705882"
"212,Averageness,3.4583333333333335,2.7058823529411766"
"212,Femininity,3.176470588235294,2.7083333333333335"
"212,Masculinity,3.16,3.68"
"212,Symmetry,2.8636363636363638,2.55"
"217,Averageness,3.0869565217391304,2.2222222222222223"
"217,Femininity,2.217391304347826,2.5"
"217,Masculinity,2.096774193548387,3.1052631578947367"
"217,Symmetry,2.1904761904761907,2.5714285714285716"
"219,Averageness,2.5,1.826086956521739"
"219,Femininity,1.6875,2.12"
"219,Masculinity,2.0714285714285716,2.3181818181818183"
"219,Symmetry,2.16,1.6470588235294117"
"223,Averageness,2.764705882352941,2.4166666666666665"
"223,Femininity,3.1578947368421053,2.5"
"223,Masculinity,2.392857142857143,2.772727272727273"
"223,Symmetry,2.7142857142857144,2.0476190476190474"
"224,Averageness,2.6842105263157894,1.9090909090909092"
"224,Femininity,1.75,2.2857142857142856"
"224,Masculinity,2.0,2.1"
"224,Symmetry,2.0,2.1904761904761907"
"226,Averageness,3.0416666666666665,2.7058823529411766"
"226,Femininity,2.04,2.1875"
"226,Masculinity,2.75,2.8181818181818183"
"226,Symmetry,2.25,2.6818181818181817"
"229,Averageness,4.434782608695652,3.0"
"229,Femininity,3.5,3.3448275862068964"
"229,Masculinity,3.6818181818181817,4.107142857142857"
"229,Symmetry,3.5714285714285716,3.6666666666666665"
"230,Averageness,2.590909090909091,2.0526315789473686"
"230,Femininity,2.473684210526316,1.9090909090909092"
"230,Masculinity,2.3225806451612905,2.0526315789473686"
"230,Symmetry,2.24,1.8823529411764706"
"232,Averageness,3.9565217391304346,3.4444444444444446"
"232,Femininity,4.0,3.238095238095238"
"232,Masculinity,3.6956521739130435,4.2592592592592595"
"232,Symmetry,3.8947368421052633,3.3043478260869565"
"234,Averageness,3.3636363636363638,4.0"
"234,Femininity,3.4,3.3333333333333335"
"234,Masculinity,3.6538461538461537,4.333333333333333"
"234,Symmetry,4.375,3.8846153846153846"
"236,Averageness,4.368421052631579,3.272727272727273"
"236,Femininity,3.210526315789474,3.409090909090909"
"236,Masculinity,3.0952380952380953,3.4827586206896552"
"236,Symmetry,3.272727272727273,2.65"
"240,Averageness,2.9047619047619047,2.8"
"240,Femininity,2.7142857142857144,2.3"
"240,Masculinity,2.5483870967741935,2.8947368421052633"
"240,Symmetry,2.8,2.7058823529411766"
"241,Averageness,2.925925925925926,2.142857142857143"
"241,Femininity,2.3703703703703702,2.0"
"241,Masculinity,1.8709677419354838,2.8421052631578947"
"241,Symmetry,1.8,2.411764705882353"
"242,Averageness,4.133333333333334,4.961538461538462"
"242,Femininity,5.173913043478261,5.277777777777778"
"242,Masculinity,5.304347826086956,5.703703703703703"
"242,Symmetry,5.045454545454546,5.05"
"243,Averageness,3.388888888888889,3.217391304347826"
"243,Femininity,3.0,3.3157894736842106"
